,[W],[Ta],[Tr],[R],total_count,sequence_type,R_avg_cluster_size,Ta_avg_cluster_size,Tr_avg_cluster_size,W_avg_cluster_size,num_cluster_types,max_cluster_size,R_no_of_cluster,Ta_no_of_cluster,Tr_no_of_cluster,W_no_of_cluster,R_max_cluster_size,Ta_max_cluster_size,Tr_max_cluster_size,W_max_cluster_size,smiles
585,8.0,10.0,12.0,4.0,34,random,0.0,2.0,2.5,2.0,4,3,0,2,2,1,0,2,3,2,[Ta][R][Ta][Ta][Tr][W][Ta][Tr][Tr][Tr][Ta][R][Tr][W][Tr][Ta][R][W][Tr][W][W][Tr][Ta][R][W][Tr][W][Tr][W][Ta][Tr][Tr][Ta][Ta]
586,8.0,10.0,12.0,4.0,34,random,2.0,2.0,2.5,3.0,4,3,1,2,2,1,2,2,3,3,[Tr][Ta][W][Ta][Tr][Tr][R][Ta][W][Ta][Tr][W][Ta][Ta][Tr][Ta][Ta][Tr][W][Tr][Tr][Tr][Ta][Tr][R][R][Tr][W][W][W][R][W][Ta][Tr]
587,8.0,10.0,12.0,4.0,34,random,0.0,2.0,3.0,2.0,4,3,0,2,2,1,0,2,3,2,[W][Ta][Tr][W][R][Tr][Tr][Tr][W][R][W][W][Tr][Tr][Tr][Ta][Ta][Tr][W][Ta][Tr][Ta][R][Ta][Ta][Tr][W][Ta][Tr][R][Ta][W][Tr][Ta]
588,8.0,10.0,12.0,4.0,34,random,0.0,2.0,2.0,3.0,4,3,0,3,1,1,0,2,2,3,[Tr][W][Tr][Ta][Ta][Tr][Ta][R][Tr][W][R][Tr][Ta][Tr][Ta][Ta][R][Tr][W][W][W][Ta][R][Tr][W][Tr][W][Ta][Ta][Tr][W][Ta][Tr][Tr]
589,8.0,10.0,12.0,4.0,34,random,0.0,2.0,2.3333333333333335,2.0,4,3,0,2,3,1,0,2,3,2,[Ta][R][Tr][Tr][Ta][W][Tr][Ta][Tr][Ta][Ta][Tr][Tr][Tr][Ta][Ta][R][W][R][Tr][Ta][W][Ta][R][Tr][W][Ta][W][Tr][Tr][W][W][Tr][W]
590,10.0,10.0,12.0,4.0,36,random,0.0,3.0,2.0,2.0,4,3,0,1,4,1,0,3,2,2,[Ta][Tr][Tr][W][Ta][Tr][W][W][Tr][Tr][Ta][W][R][Ta][Tr][Tr][W][R][W][Tr][W][Ta][Ta][Ta][W][R][Tr][Tr][Ta][R][Ta][W][Tr][Ta][W][Tr]
591,10.0,10.0,12.0,4.0,36,random,0.0,2.0,3.0,2.0,4,4,0,2,2,3,0,2,4,2,[Tr][Tr][Tr][Tr][W][W][Tr][Ta][Ta][Tr][W][Ta][Tr][R][Ta][W][Tr][Ta][W][W][R][W][W][Ta][W][Tr][W][Ta][Ta][R][Ta][Tr][Tr][R][Tr][Ta]
592,10.0,10.0,12.0,4.0,36,random,2.0,2.0,3.0,2.0,4,4,1,2,2,2,2,2,4,2,[Tr][W][Ta][Tr][R][R][Ta][Ta][Tr][W][Tr][W][Tr][Tr][Tr][Tr][Ta][Tr][W][W][Ta][W][W][Ta][W][R][W][Tr][R][Ta][W][Ta][Ta][Tr][Tr][Ta]
593,10.0,10.0,12.0,4.0,36,random,3.0,2.5,4.0,3.0,4,4,1,2,1,2,3,3,4,4,[Tr][Ta][W][W][Ta][Tr][Ta][Ta][Tr][W][W][W][W][Ta][Ta][Ta][Tr][Ta][Tr][W][R][W][Ta][Tr][R][R][R][Tr][W][Ta][Tr][W][Tr][Tr][Tr][Tr]
594,10.0,10.0,12.0,4.0,36,random,0.0,2.0,2.5,2.3333333333333335,4,3,0,3,2,3,0,2,3,3,[W][Tr][W][W][Tr][Ta][Tr][Ta][Tr][Tr][R][W][Ta][W][Ta][Ta][Tr][Tr][Tr][R][W][W][Ta][Ta][Tr][R][Tr][Ta][Ta][R][W][W][W][Tr][Ta][Tr]
595,12.0,10.0,12.0,4.0,38,random,0.0,2.0,2.0,2.5,4,3,0,1,3,2,0,2,2,3,[Ta][R][Tr][R][W][Ta][Tr][W][Ta][Tr][W][Ta][Tr][Tr][Ta][W][Tr][Tr][Ta][W][Tr][Ta][W][W][W][Tr][Ta][R][W][W][Tr][Tr][R][Tr][W][Ta][Ta][W]
596,12.0,10.0,12.0,4.0,38,random,0.0,2.0,2.25,3.5,4,4,0,2,4,2,0,2,3,4,[W][Tr][R][W][R][Ta][Ta][Tr][Tr][Ta][Ta][W][W][W][W][Tr][Tr][R][Ta][R][Ta][Tr][Tr][Ta][Tr][Tr][Tr][W][Ta][Tr][W][W][W][Ta][W][Ta][Tr][W]
597,12.0,10.0,12.0,4.0,38,random,2.0,2.0,4.0,2.5,4,4,1,2,1,2,2,2,4,3,[W][Ta][Tr][W][Ta][Ta][Tr][R][R][Ta][Ta][Tr][W][Tr][W][W][W][Tr][R][W][Ta][Tr][W][Ta][Tr][Tr][Tr][Tr][W][Ta][Tr][Ta][W][Ta][Tr][W][W][R]
598,12.0,10.0,12.0,4.0,38,random,0.0,2.5,2.5,2.0,4,3,0,2,2,2,0,3,3,2,[Tr][W][Tr][W][Ta][R][Tr][Ta][W][R][Tr][Ta][Tr][W][Tr][Tr][W][Tr][Tr][Tr][W][Ta][Ta][W][R][W][W][R][Ta][W][Tr][W][W][Ta][Ta][Ta][Tr][Ta]
599,12.0,10.0,12.0,4.0,38,random,0.0,2.0,2.0,5.0,4,5,0,1,2,1,0,2,2,5,[W][Ta][R][Tr][Tr][W][W][W][W][W][Ta][Ta][Tr][W][Ta][Tr][Ta][Tr][Tr][W][Ta][Tr][W][R][Ta][Tr][Ta][Tr][W][Ta][R][W][Tr][W][Tr][R][Tr][Ta]
600,4.0,12.0,12.0,4.0,32,random,2.0,2.0,3.5,2.0,4,5,1,3,2,1,2,2,5,2,[R][W][Ta][Tr][Ta][Tr][Tr][Tr][Tr][Tr][Ta][Tr][Ta][W][Tr][Ta][Ta][Tr][Ta][Ta][R][R][Tr][Tr][Ta][W][W][Ta][Tr][Ta][Ta][R]
601,4.0,12.0,12.0,4.0,32,random,0.0,2.0,2.3333333333333335,0.0,4,3,0,4,3,0,0,2,3,0,[Ta][Tr][Ta][Tr][Tr][W][Tr][Ta][W][Ta][Ta][Tr][Tr][Tr][R][Tr][Ta][Ta][Tr][R][Ta][Ta][R][Tr][Tr][Ta][W][Tr][W][Ta][Ta][R]
602,4.0,12.0,12.0,4.0,32,random,2.0,2.0,2.0,0.0,4,2,1,5,3,0,2,2,2,0,[Ta][Ta][Tr][Ta][W][Ta][Ta][Tr][Tr][W][Tr][R][Tr][Ta][Tr][Tr][Ta][Ta][W][Ta][Ta][Tr][R][R][Tr][Ta][Ta][Tr][W][R][Tr][Tr]
603,4.0,12.0,12.0,4.0,32,random,0.0,2.0,5.0,0.0,4,5,0,3,1,0,0,2,5,0,[Tr][Tr][Tr][Tr][Tr][Ta][R][Ta][Tr][Ta][W][Tr][R][Tr][R][W][Ta][W][Tr][Ta][Ta][R][Ta][Tr][Ta][Ta][Tr][Ta][W][Ta][Ta][Tr]
604,4.0,12.0,12.0,4.0,32,random,2.0,2.25,2.25,2.0,4,3,1,4,4,1,2,3,3,2,[Ta][Ta][Ta][R][R][Tr][W][W][Tr][Tr][Tr][Ta][Tr][Tr][Ta][Tr][Tr][R][W][Ta][Ta][Tr][Ta][Ta][Tr][Tr][R][Ta][Tr][W][Ta][Ta]
605,6.0,12.0,12.0,4.0,34,random,0.0,3.5,2.2,2.0,4,4,0,2,5,2,0,4,3,2,[R][Tr][Tr][Tr][W][Ta][R][Ta][W][W][Ta][Ta][Ta][Ta][Tr][Tr][R][Tr][Tr][W][Tr][Tr][Ta][Tr][Tr][Ta][Tr][W][W][Ta][Ta][Ta][R][Ta]
606,6.0,12.0,12.0,4.0,34,random,0.0,3.0,2.5,0.0,4,4,0,3,4,0,0,4,3,0,[Ta][Ta][Ta][Ta][Tr][Tr][Tr][W][Tr][Tr][W][Tr][Tr][W][Ta][R][Tr][Tr][Tr][R][W][Tr][R][Ta][Tr][Ta][Ta][R][Ta][W][Ta][Ta][Ta][W]
607,6.0,12.0,12.0,4.0,34,random,0.0,3.5,2.3333333333333335,2.0,4,4,0,2,3,1,0,4,3,2,[Ta][Tr][Tr][Tr][W][W][Tr][Tr][W][Ta][Ta][Ta][Tr][W][R][Ta][Ta][Ta][Ta][R][Tr][Ta][Tr][R][Tr][Tr][W][R][Ta][Tr][Ta][Tr][Ta][W]
608,6.0,12.0,12.0,4.0,34,random,0.0,2.3333333333333335,2.5,0.0,4,3,0,3,2,0,0,3,3,0,[R][Tr][Tr][Ta][Tr][W][Tr][W][Tr][W][Ta][Tr][R][Ta][W][Ta][Ta][Tr][Tr][Tr][Ta][R][Tr][W][Ta][Ta][Ta][Tr][Ta][W][R][Tr][Ta][Ta]
609,6.0,12.0,12.0,4.0,34,random,2.0,2.0,2.5,2.5,4,4,1,4,4,2,2,2,4,3,[Ta][Ta][R][R][Tr][Tr][Tr][Tr][Ta][R][Tr][Tr][Ta][Tr][Ta][W][W][W][Tr][Tr][W][Ta][W][W][Ta][Ta][R][Ta][Ta][Tr][Ta][Ta][Tr][Tr]
610,8.0,12.0,12.0,4.0,36,random,0.0,2.0,4.0,2.0,4,6,0,2,2,1,0,2,6,2,[Ta][Tr][Tr][Ta][W][W][Ta][W][Ta][Ta][W][Tr][R][Ta][R][W][Tr][R][Ta][W][Ta][Ta][Tr][Ta][W][Tr][Tr][Tr][Tr][Tr][Tr][R][Ta][W][Ta][Tr]
611,8.0,12.0,12.0,4.0,36,random,3.0,2.4,2.5,2.0,4,3,1,5,2,1,3,3,3,2,[Tr][Tr][Tr][W][Tr][W][Tr][W][Tr][Ta][Ta][Tr][Ta][Ta][Ta][W][Ta][Ta][Tr][R][W][W][Tr][Ta][Ta][W][R][R][R][Tr][Ta][Ta][Ta][Tr][Tr][W]
612,8.0,12.0,12.0,4.0,36,random,2.0,3.3333333333333335,2.5,2.0,4,4,1,3,2,2,2,4,3,2,[W][Tr][W][Tr][Tr][Tr][W][Ta][Ta][Ta][Ta][Tr][Ta][W][W][Tr][W][Ta][Ta][Ta][Ta][Tr][Ta][W][W][Tr][R][R][Tr][Tr][R][Tr][R][Tr][Ta][Ta]
613,8.0,12.0,12.0,4.0,36,random,2.0,3.5,3.0,0.0,4,5,1,2,2,0,2,5,4,0,[Tr][Ta][Tr][W][Tr][W][Ta][Ta][W][Ta][W][Ta][Ta][Ta][Ta][Ta][R][Tr][R][R][W][Tr][Ta][Tr][Ta][Tr][Tr][Tr][Tr][W][Tr][Tr][Ta][W][R][W]
614,8.0,12.0,12.0,4.0,36,random,0.0,2.5,2.0,0.0,4,3,0,2,3,0,0,3,2,0,[Ta][W][Tr][Ta][Tr][Tr][W][R][Tr][Ta][Tr][W][Tr][W][Ta][Tr][Tr][Ta][Ta][Ta][R][W][Tr][W][Ta][Tr][Tr][Ta][Ta][W][R][Ta][Tr][Ta][R][W]
615,10.0,12.0,12.0,4.0,38,random,0.0,2.3333333333333335,2.6666666666666665,3.0,4,4,0,3,3,2,0,3,3,4,[Tr][W][Tr][Ta][Ta][Ta][Tr][Ta][Tr][R][Ta][Ta][Tr][Tr][Tr][Ta][Tr][Tr][Tr][R][W][W][W][W][Ta][W][Ta][W][Ta][Ta][R][W][Ta][R][W][W][Tr][Tr]
616,10.0,12.0,12.0,4.0,38,random,0.0,2.3333333333333335,2.3333333333333335,2.0,4,3,0,3,3,2,0,3,3,2,[Ta][Tr][Tr][Ta][Ta][R][W][W][Ta][W][Tr][Tr][Tr][R][Tr][W][Ta][W][Tr][W][Ta][Tr][W][Ta][Ta][Tr][R][W][W][Ta][R][Tr][W][Tr][Tr][Ta][Ta][Ta]
617,10.0,12.0,12.0,4.0,38,random,0.0,2.6666666666666665,2.3333333333333335,3.0,4,4,0,3,3,2,0,4,3,3,[Tr][Tr][R][Tr][Tr][Ta][Ta][W][Tr][W][Ta][Ta][W][W][W][Tr][R][W][R][Ta][Ta][Ta][Ta][Tr][Ta][R][Ta][Tr][Ta][Tr][W][W][W][Ta][Tr][Tr][Tr][W]
618,10.0,12.0,12.0,4.0,38,random,2.0,2.6666666666666665,2.5,3.0,4,4,1,3,2,1,2,4,3,3,[W][Tr][Ta][W][Tr][Ta][Ta][Ta][Ta][Tr][W][Ta][R][R][W][Ta][Ta][Tr][W][R][W][W][W][Tr][Ta][W][Ta][Ta][Tr][Ta][Tr][Tr][Tr][R][Tr][W][Tr][Tr]
619,10.0,12.0,12.0,4.0,38,random,2.0,2.3333333333333335,2.25,3.0,4,3,1,3,4,1,2,3,3,3,[Tr][W][Ta][Ta][Tr][Tr][R][W][Ta][Ta][Ta][W][Tr][Tr][W][Ta][R][R][Tr][Tr][Tr][Ta][W][W][W][Ta][Tr][W][Ta][R][Tr][W][Ta][W][Ta][Ta][Tr][Tr]
620,12.0,12.0,12.0,4.0,40,random,2.0,2.5,3.0,2.3333333333333335,4,4,1,2,2,3,2,3,4,3,[Tr][Ta][R][R][Ta][Ta][W][Ta][Tr][W][W][Ta][Tr][Ta][Tr][Tr][W][Ta][W][W][Ta][Ta][Ta][Tr][Ta][W][R][Tr][W][Tr][R][Ta][W][W][W][Tr][Tr][Tr][Tr][W]
621,12.0,12.0,12.0,4.0,40,random,0.0,2.0,2.0,2.0,4,2,0,3,2,1,0,2,2,2,[W][Ta][W][Ta][Ta][R][Tr][W][R][W][Ta][Tr][Tr][W][R][Ta][Tr][W][Ta][Ta][W][W][Tr][Ta][Tr][W][Ta][Tr][W][Ta][Ta][Tr][W][Tr][W][Ta][Tr][Tr][R][Tr]
622,12.0,12.0,12.0,4.0,40,random,0.0,2.0,2.0,2.0,4,2,0,3,2,3,0,2,2,2,[Tr][R][Tr][Ta][Ta][R][W][W][Tr][Ta][Ta][Tr][Tr][W][Tr][Ta][R][W][Tr][Ta][W][Tr][Ta][Tr][R][Ta][Ta][W][Tr][Tr][W][Ta][W][Tr][Ta][W][W][Ta][W][W]
623,12.0,12.0,12.0,4.0,40,random,0.0,2.0,2.0,2.0,4,2,0,1,3,2,0,2,2,2,[Ta][R][W][Ta][W][Tr][W][Tr][Ta][W][R][Ta][W][Ta][W][Tr][Ta][R][W][W][Tr][Tr][Ta][Tr][Ta][R][Ta][Tr][Tr][W][W][Tr][Ta][Ta][Tr][Tr][W][Tr][W][Ta]
624,12.0,12.0,12.0,4.0,40,random,0.0,2.5,2.5,3.0,4,3,0,2,2,1,0,3,3,3,[Ta][Ta][Ta][Tr][W][R][Tr][Tr][Tr][Ta][W][Ta][R][W][R][Ta][Tr][W][Tr][Ta][Tr][W][Tr][W][Ta][Tr][R][W][Tr][W][Ta][Ta][W][W][W][Ta][W][Ta][Tr][Tr]
625,4.0,4.0,4.0,6.0,18,random,3.0,2.0,2.0,0.0,4,3,1,1,1,0,3,2,2,0,[R][R][R][Tr][W][R][W][Ta][Ta][Tr][Tr][R][Ta][W][R][W][Tr][Ta]
626,4.0,4.0,4.0,6.0,18,random,2.0,0.0,2.0,2.0,4,2,1,0,1,1,2,0,2,2,[R][W][W][Ta][R][Ta][W][Tr][Tr][Ta][W][Tr][R][Tr][R][Ta][R][R]
627,4.0,4.0,4.0,6.0,18,random,0.0,2.0,2.0,0.0,4,2,0,1,1,0,0,2,2,0,[Tr][Tr][R][Ta][Ta][W][R][Ta][R][Ta][R][W][Tr][W][R][Tr][R][W]
628,4.0,4.0,4.0,6.0,18,random,2.0,3.0,0.0,2.0,4,3,2,1,0,1,2,3,0,2,[W][Tr][R][Ta][R][R][W][Tr][R][R][W][W][Tr][R][Ta][Ta][Ta][Tr]
629,4.0,4.0,4.0,6.0,18,random,3.0,0.0,0.0,2.0,4,3,1,0,0,1,3,0,0,2,[Ta][Tr][R][W][W][Tr][R][R][R][Ta][W][Tr][Ta][Tr][R][Ta][W][R]
630,6.0,4.0,4.0,6.0,20,random,2.0,2.0,2.0,2.0,4,2,1,1,1,1,2,2,2,2,[Ta][Ta][W][R][R][Tr][Tr][W][R][W][Tr][W][Tr][Ta][R][W][W][R][Ta][R]
631,6.0,4.0,4.0,6.0,20,random,0.0,0.0,0.0,2.0,4,2,0,0,0,1,0,0,0,2,[Tr][R][W][Ta][R][W][R][W][W][R][W][R][Tr][Ta][Tr][Ta][W][Ta][R][Tr]
632,6.0,4.0,4.0,6.0,20,random,3.0,0.0,3.0,2.0,4,3,1,0,1,2,3,0,3,2,[W][W][R][Ta][R][R][R][Tr][Tr][Tr][W][Ta][W][W][R][Ta][Tr][R][Ta][W]
633,6.0,4.0,4.0,6.0,20,random,3.0,4.0,2.0,3.0,4,4,1,1,1,1,3,4,2,3,[Ta][Ta][Ta][Ta][W][W][W][R][R][R][W][Tr][Tr][R][W][R][Tr][R][Tr][W]
634,6.0,4.0,4.0,6.0,20,random,2.0,0.0,0.0,2.0,4,2,2,0,0,2,2,0,0,2,[Tr][W][W][R][R][W][Ta][R][R][Ta][Tr][W][W][R][Ta][W][Tr][R][Ta][Tr]
635,8.0,4.0,4.0,6.0,22,random,2.0,0.0,2.0,4.0,4,4,1,0,1,1,2,0,2,4,[R][W][R][W][R][R][Ta][Tr][Ta][W][Tr][Tr][Ta][R][Tr][R][W][Ta][W][W][W][W]
636,8.0,4.0,4.0,6.0,22,random,2.0,0.0,2.0,2.0,4,2,1,0,1,3,2,0,2,2,[W][Tr][Tr][Ta][R][W][W][Ta][W][W][R][Ta][R][Tr][W][Ta][R][W][W][R][R][Tr]
637,8.0,4.0,4.0,6.0,22,random,0.0,0.0,2.0,2.0,4,2,0,0,1,1,0,0,2,2,[W][R][Ta][W][Ta][Tr][R][W][R][W][Tr][W][Tr][Tr][W][W][Ta][R][Ta][R][W][R]
638,8.0,4.0,4.0,6.0,22,random,2.0,0.0,0.0,2.0,4,2,1,0,0,2,2,0,0,2,[Tr][W][Tr][Ta][Tr][W][R][R][W][R][Ta][W][W][R][Ta][R][W][W][R][Tr][W][Ta]
639,8.0,4.0,4.0,6.0,22,random,2.5,0.0,0.0,2.0,4,3,2,0,0,1,3,0,0,2,[W][Ta][W][Tr][W][R][R][W][Ta][W][Tr][R][R][R][Tr][R][W][Ta][Tr][W][W][Ta]
640,10.0,4.0,4.0,6.0,24,random,2.0,2.0,0.0,2.5,4,3,2,2,0,2,2,2,0,3,[W][R][R][Tr][Ta][Ta][W][W][Tr][W][W][W][Tr][W][R][R][W][R][W][Tr][R][W][Ta][Ta]
641,10.0,4.0,4.0,6.0,24,random,3.0,2.0,2.0,2.0,4,3,1,2,1,3,3,2,2,2,[W][Ta][Ta][Tr][W][W][R][R][R][W][Tr][W][W][R][W][Ta][Ta][W][W][R][W][R][Tr][Tr]
642,10.0,4.0,4.0,6.0,24,random,2.0,0.0,2.0,3.0,4,4,1,0,1,2,2,0,2,4,[W][W][R][W][Ta][W][W][W][W][Tr][Tr][Ta][W][Tr][Ta][W][R][W][R][Ta][R][R][Tr][R]
643,10.0,4.0,4.0,6.0,24,random,0.0,0.0,2.0,2.3333333333333335,4,3,0,0,1,3,0,0,2,3,[W][R][Ta][Tr][W][W][W][R][W][W][Ta][W][R][Tr][Tr][R][W][W][Ta][W][R][Ta][R][Tr]
644,10.0,4.0,4.0,6.0,24,random,2.0,2.0,2.0,2.0,4,2,1,1,1,3,2,2,2,2,[W][Ta][R][R][W][W][Ta][W][Ta][Ta][R][W][W][R][W][W][R][Tr][W][Tr][W][Tr][Tr][R]
645,12.0,4.0,4.0,6.0,26,random,3.0,2.0,0.0,2.25,4,4,2,1,0,4,4,2,0,3,[W][W][Tr][W][W][W][Tr][W][W][Ta][Ta][Tr][Ta][W][R][R][W][R][R][R][R][Ta][W][Tr][W][W]
646,12.0,4.0,4.0,6.0,26,random,0.0,0.0,2.0,2.0,4,2,0,0,1,3,0,0,2,2,[W][Tr][W][R][Ta][Tr][Tr][R][W][W][R][W][R][W][Ta][R][Ta][W][W][Ta][W][R][W][Tr][W][W]
647,12.0,4.0,4.0,6.0,26,random,2.0,0.0,2.0,3.0,4,5,1,0,1,3,2,0,2,5,[W][Tr][W][W][R][W][W][Tr][W][R][R][W][W][W][W][W][Tr][Tr][W][Ta][R][Ta][R][Ta][R][Ta]
648,12.0,4.0,4.0,6.0,26,random,0.0,0.0,0.0,3.5,4,5,0,0,0,2,0,0,0,5,[W][R][Tr][Ta][R][W][W][R][Ta][Tr][R][W][Ta][R][W][W][W][W][W][Tr][R][W][Tr][W][Ta][W]
649,12.0,4.0,4.0,6.0,26,random,0.0,2.0,0.0,2.3333333333333335,4,3,0,1,0,3,0,2,0,3,[W][Tr][R][Ta][W][Ta][Ta][W][R][W][W][R][W][R][Tr][R][W][W][W][Tr][W][W][Tr][R][Ta][W]
650,4.0,6.0,4.0,6.0,20,random,0.0,2.0,2.0,2.0,4,2,0,1,1,1,0,2,2,2,[R][W][Ta][R][Ta][Tr][Ta][R][W][W][R][W][R][Ta][Tr][Tr][Ta][Ta][R][Tr]
651,4.0,6.0,4.0,6.0,20,random,2.0,2.0,2.0,2.0,4,2,1,1,1,1,2,2,2,2,[Tr][Tr][R][Tr][R][Ta][W][Ta][R][Ta][R][R][Tr][Ta][Ta][W][W][Ta][R][W]
652,4.0,6.0,4.0,6.0,20,random,3.0,3.0,2.0,2.0,4,3,1,1,1,1,3,3,2,2,[R][Ta][W][W][Ta][Ta][Ta][Tr][R][W][Ta][R][R][R][Tr][Tr][R][W][Tr][Ta]
653,4.0,6.0,4.0,6.0,20,random,3.0,2.0,0.0,0.0,4,3,1,1,0,0,3,2,0,0,[R][R][R][W][Ta][Ta][W][Ta][R][Ta][Tr][R][Tr][W][Tr][Ta][R][W][Tr][Ta]
654,4.0,6.0,4.0,6.0,20,random,4.0,0.0,0.0,0.0,4,4,1,0,0,0,4,0,0,0,[Ta][R][Ta][W][Ta][Tr][W][Ta][Tr][Ta][R][R][R][R][W][Ta][Tr][R][Tr][W]
655,6.0,6.0,4.0,6.0,22,random,0.0,3.0,2.0,2.5,4,3,0,1,1,2,0,3,2,3,[R][W][W][W][R][W][W][R][Tr][R][Tr][Ta][Ta][Ta][W][R][Ta][Tr][Tr][Ta][R][Ta]
656,6.0,6.0,4.0,6.0,22,random,2.0,3.0,0.0,3.0,4,3,2,1,0,1,2,3,0,3,[Ta][R][W][W][W][Tr][R][R][W][R][R][W][Tr][Ta][Tr][Ta][W][Ta][Ta][Ta][R][Tr]
657,6.0,6.0,4.0,6.0,22,random,3.0,2.0,2.0,0.0,4,3,1,1,1,0,3,2,2,0,[Ta][Ta][R][W][Tr][Tr][W][Ta][R][W][R][Ta][W][Tr][W][R][R][R][Ta][W][Tr][Ta]
658,6.0,6.0,4.0,6.0,22,random,0.0,2.0,0.0,3.0,4,3,0,1,0,1,0,2,0,3,[R][Tr][Ta][Ta][R][W][Ta][Tr][R][W][R][Ta][R][W][W][W][Ta][Tr][Ta][W][Tr][R]
659,6.0,6.0,4.0,6.0,22,random,3.0,2.0,0.0,2.0,4,3,1,2,0,1,3,2,0,2,[W][Ta][Ta][W][Ta][R][Tr][R][R][R][Tr][Ta][R][W][R][Tr][W][Ta][Ta][W][W][Tr]
660,8.0,6.0,4.0,6.0,24,random,2.5,2.0,0.0,2.0,4,3,2,2,0,1,3,2,0,2,[Ta][W][Ta][Ta][W][W][R][Tr][W][Tr][Ta][Tr][W][R][R][W][Ta][Ta][W][R][R][R][W][Tr]
661,8.0,6.0,4.0,6.0,24,random,3.0,2.0,2.0,2.0,4,3,1,1,1,1,3,2,2,2,[R][W][R][R][R][W][Ta][R][W][W][Ta][W][Ta][W][Tr][Ta][Ta][Tr][W][Tr][Tr][R][W][Ta]
662,8.0,6.0,4.0,6.0,24,random,2.0,2.0,0.0,2.0,4,2,1,1,0,2,2,2,0,2,[Ta][W][W][R][Tr][Ta][Tr][R][R][Ta][Tr][W][R][W][R][W][W][R][W][Ta][Ta][W][Ta][Tr]
663,8.0,6.0,4.0,6.0,24,random,2.0,2.5,0.0,2.0,4,3,1,2,0,1,2,3,0,2,[W][R][W][Tr][W][Ta][Ta][Ta][R][W][Tr][R][W][Ta][W][W][R][Tr][W][Tr][R][R][Ta][Ta]
664,8.0,6.0,4.0,6.0,24,random,2.0,2.0,0.0,3.0,4,4,1,1,0,2,2,2,0,4,[W][W][Ta][R][Tr][R][W][W][W][W][Ta][R][Ta][W][Tr][R][R][W][Tr][Ta][Tr][R][Ta][Ta]
665,10.0,6.0,4.0,6.0,26,random,2.0,0.0,2.0,2.0,4,2,1,0,1,3,2,0,2,2,[W][Tr][Tr][W][W][Tr][Ta][R][Ta][W][Ta][W][W][R][W][Ta][R][Ta][Tr][W][W][R][Ta][W][R][R]
666,10.0,6.0,4.0,6.0,26,random,3.0,3.0,0.0,2.25,4,3,1,1,0,4,3,3,0,3,[R][Tr][R][Ta][Ta][Ta][W][Ta][W][W][Tr][W][W][Tr][R][R][R][W][W][Ta][W][W][W][R][Ta][Tr]
667,10.0,6.0,4.0,6.0,26,random,0.0,3.0,2.0,2.3333333333333335,4,3,0,1,2,3,0,3,2,3,[W][R][W][W][Tr][Tr][R][Ta][W][W][W][Ta][W][W][R][Tr][Tr][Ta][R][W][R][W][Ta][Ta][Ta][R]
668,10.0,6.0,4.0,6.0,26,random,2.0,2.0,2.0,4.0,4,4,1,1,1,1,2,2,2,4,[Tr][Tr][W][R][R][W][W][W][W][Tr][W][Ta][R][Ta][R][W][R][Ta][W][Ta][W][R][W][Tr][Ta][Ta]
669,10.0,6.0,4.0,6.0,26,random,2.0,2.0,2.0,2.0,4,2,1,1,1,3,2,2,2,2,[Ta][Ta][Tr][R][Ta][W][W][R][W][W][Ta][W][R][R][W][W][Ta][R][W][R][Tr][Tr][W][Tr][Ta][W]
670,12.0,6.0,4.0,6.0,28,random,2.0,2.0,0.0,3.0,4,5,2,1,0,3,2,2,0,5,[Tr][W][W][R][R][Ta][W][Ta][W][Ta][W][W][Tr][W][R][R][W][W][W][W][W][Tr][R][Ta][Ta][R][Tr][Ta]
671,12.0,6.0,4.0,6.0,28,random,2.0,3.0,2.0,3.3333333333333335,4,4,2,1,1,3,2,3,2,4,[Ta][Ta][Ta][Tr][W][Tr][Tr][R][R][Ta][W][R][W][W][W][Tr][Ta][W][W][W][R][R][Ta][R][W][W][W][W]
672,12.0,6.0,4.0,6.0,28,random,3.0,4.0,2.0,2.0,4,4,1,1,1,3,3,4,2,2,[W][Tr][W][R][R][R][Ta][Ta][Ta][Ta][W][W][R][W][W][Ta][W][Ta][W][R][W][Tr][Tr][W][W][R][W][Tr]
673,12.0,6.0,4.0,6.0,28,random,2.0,0.0,0.0,3.5,4,5,1,0,0,2,2,0,0,5,[Ta][R][Tr][R][Ta][W][R][R][Ta][Tr][W][Ta][W][Ta][W][W][W][W][W][R][Tr][W][W][R][Tr][W][Ta][W]
674,12.0,6.0,4.0,6.0,28,random,2.0,2.5,0.0,3.5,4,4,1,2,0,2,2,3,0,4,[Ta][Ta][Ta][W][Tr][W][W][W][Tr][R][W][W][W][W][Tr][W][Tr][W][R][W][Ta][R][Ta][Ta][R][W][R][R]
675,4.0,8.0,4.0,6.0,22,random,2.0,2.0,2.0,2.0,4,2,1,3,1,1,2,2,2,2,[W][R][Ta][R][Ta][Ta][Tr][Tr][R][R][Ta][Ta][R][Ta][W][Ta][Ta][W][W][Tr][R][Tr]
676,4.0,8.0,4.0,6.0,22,random,2.0,2.0,0.0,2.0,4,2,2,1,0,1,2,2,0,2,[W][W][Tr][Ta][Tr][Ta][R][Tr][Ta][R][R][W][Ta][Ta][R][R][Tr][Ta][W][Ta][R][Ta]
